"child_sex","Expo_family","Exposure","Gene","Hg19","No. of probes","Slk p-value","Sidak p-value","Direction of effect"
"Females and males","Phthalate","Mono(2-ethyl-5-hydroxyhexyl) phthalate (MEHHP)","ARSB;ARSB;ARSB","chr5:78281793-78281965",5,"4.16e-07","1.82e-03","+"
"Females and males","Phthalate","Mono(2-ethyl-5-hydroxyhexyl) phthalate (MEHHP)","NIPAL4","chr5:156886970-156887130",8,"5.74e-09","2.70e-05","+"
"Females and males","Phthalate","Mono(2-ethyl-5-hydroxyhexyl) phthalate (MEHHP)","SCAND3;SCAND3","chr6:28554964-28555231",9,"1.41e-11","3.99e-08","+"
"Females and males","Phthalate","Mono(2-ethylhexyl) phthalate (MEHP)","","chr7:55063817-55063855",2,"1.08e-09","2.14e-05","+"
"Females and males","Phthalate","Mono(2-ethylhexyl) phthalate (MEHP)","AKAP2;PALM2-AKAP2;PALM2-AKAP2;AKAP2;AKAP2","chr9:112887565-112887766",6,"3.44e-11","1.29e-07","+"
"Females and males","Phthalate","Mono(2-ethylhexyl) phthalate (MEHP)","COASY;COASY;COASY;COASY;COASY","chr17:40715222-40715282",5,"2.68e-09","3.36e-05","+"
"Females and males","Phthalate","Mono(2-ethylhexyl) phthalate (MEHP)","COASY;COASY;COASY;COASY;COASY;COASY","chr17:40714251-40714407",2,"3.67e-08","1.77e-04","+"
"Females and males","Phthalate","Mono(2-ethylhexyl) phthalate (MEHP)","KSR1","chr17:25798878-25799019",5,"8.39e-10","4.48e-06","+"
"Females and males","Phthalate","Mono(2-ethylhexyl) phthalate (MEHP)","PIP","chr7:142828903-142829067",3,"2.79e-08","1.28e-04","+"
"Females and males","Phthalate","Mono(2-ethylhexyl) phthalate (MEHP)","TCL1A;TCL1A;TCL1A;TCL1A;TCL1A","chr14:96180507-96180649",5,"1.48e-10","7.86e-07","+"
"Females and males","Phthalate","Mono(2-ethyl-5-oxohexyl) phthalate (MEOHP)","ARSB;ARSB;ARSB","chr5:78281793-78281965",5,"1.48e-07","6.48e-04","+"
"Females and males","Phthalate","Mono-2-carboxymethyl hexyl phthalate (MMCHP)","NIPAL4","chr5:156886970-156887148",9,"3.24e-11","1.37e-07","+"
"Females and males","Phthalate","Molar sum of DEHP metabolites (ΣDEHP)","ARSB;ARSB;ARSB","chr5:78281793-78281965",5,"6.09e-07","2.66e-03","+"
"Females and males","Phthalate","Molar sum of DEHP metabolites (ΣDEHP)","NIPAL4","chr5:156886970-156887130",8,"2.20e-08","1.04e-04","+"
"Females and males","Phthalate","Molar sum of DEHP metabolites (ΣDEHP)","SCAND3;SCAND3","chr6:28555055-28555231",7,"3.52e-10","1.50e-06","+"
"Females and males","Phthalate","Mono-4-methyl-7-carboxyoctyl phthalate (cx-MiNP)","ACSS3","chr12:81471533-81471885",9,"8.56e-15","1.83e-11","+"
"Females and males","Phthalate","Mono-4-methyl-7-carboxyoctyl phthalate (cx-MiNP)","FAM184B","chr4:17783205-17783357",6,"3.42e-08","1.70e-04","+"
"Females and males","Phthalate","Mono-4-methyl-7-carboxyoctyl phthalate (cx-MiNP)","ProSAPiP1;ProSAPiP1","chr20:3148785-3148935",3,"3.87e-09","1.94e-05","+"
"Females and males","Phthalate","Mono-4-methyl-7-carboxyoctyl phthalate (cx-MiNP)","UCP1","chr4:141489963-141490429",7,"5.37e-15","8.61e-12","+"
"Females and males","Phthalate","Molar sum of di-isononyl phthalate (DiNP) metabolites (ΣDiNP)","CCDC144A","chr17:16593582-16593614",4,"2.40e-08","5.63e-04","+"
"Females and males","Phthalate","Molar sum of di-isononyl phthalate (DiNP) metabolites (ΣDiNP)","NPR3","chr5:32711355-32711518",6,"1.35e-08","6.25e-05","+"
"Females and males","Phthalate","Molar sum of di-isononyl phthalate (DiNP) metabolites (ΣDiNP)","UCP1","chr4:141489963-141490429",7,"1.08e-16","1.79e-13","+"
"Females and males","Phenol","Butylparaben (BUPA)","ANKRD30B","chr18:14748128-14748299",7,"1.66e-11","7.31e-08","+"
"Females and males","Phenol","Butylparaben (BUPA)","CTNNA2;CTNNA2;CTNNA2;CTNNA2;CTNNA2;CTNNA2","chr2:80752937-80752968",3,"4.31e-09","1.05e-04","-"
"Females","Phenol","Ethylparaben (ETPA)","","chr14:58332488-58332752",5,"5.02e-10","1.43e-06","-"
"Females","Phenol","Ethylparaben (ETPA)","","chr7:20818767-20818888",3,"2.91e-06","1.80e-02","-"
"Females","Phenol","Ethylparaben (ETPA)","LPA","chr6:161086715-161086781",2,"2.75e-08","3.13e-04","+"
"Females","Phenol","Ethylparaben (ETPA)","PTDSS2","chr11:460469-460634",4,"2.37e-08","1.08e-04","+"
"Females","Phenol","Ethylparaben (ETPA)","ROBO4;ROBO4;ROBO4;ROBO4","chr11:124767825-124768016",6,"6.58e-09","2.59e-05","+"
"Females","Phenol","Propylparaben (PRPA)","CASR","chr3:121902497-121902562",4,"5.77e-07","6.66e-03","+"
"Females","Phenol","Propylparaben (PRPA)","CHL1","chr3:239188-239230",4,"1.66e-08","2.97e-04","+"
"Females","Phenol","Propylparaben (PRPA)","GNG11","chr7:93550969-93551133",6,"4.74e-08","2.18e-04","+"
"Females","Phenol","Propylparaben (PRPA)","HAND2;NBLA00301;HAND2","chr4:174451251-174451565",11,"2.34e-12","5.62e-09","+"
"Females","Phenol","Propylparaben (PRPA)","KCNIP2;KCNIP2;KCNIP2;KCNIP2;KCNIP2;KCNIP2;KCNIP2","chr10:103599617-103599758",5,"3.61e-08","1.92e-04","-"
"Females","Phenol","Propylparaben (PRPA)","OSBPL3;OSBPL3;OSBPL3;OSBPL3","chr7:25018440-25018596",4,"2.09e-08","1.01e-04","+"
"Females","Phenol","Propylparaben (PRPA)","ZFP90","chr16:68572892-68573026",6,"2.72e-08","1.53e-04","-"
"Females","Phthalate","Monoethyl phthalate (MEP)","RGS22","chr8:101118377-101118549",6,"1.70e-09","7.43e-06","-"
"Females","Phthalate","Mono-iso-butyl phthalate (MiBP)","BDKRB1","chr14:96722306-96722466",2,"2.92e-06","1.36e-02","+"
"Females","Phthalate","Mono-iso-butyl phthalate (MiBP)","FOXP2;FOXP2;FOXP2;FOXP2;FOXP2;FOXP2","chr7:114055074-114055211",6,"5.62e-10","3.09e-06","+"
"Females","Phthalate","Mono-iso-butyl phthalate (MiBP)","MGC45800","chr4:183061830-183061956",4,"1.12e-08","6.68e-05","+"
"Females","Phthalate","Mono-iso-butyl phthalate (MiBP)","SLC25A46","chr5:110074219-110074385",3,"1.31e-08","5.94e-05","+"
"Females","Phthalate","Mono-4-methyl-7-carboxyoctyl phthalate (cx-MiNP)","FOXA1;TTC6;TTC6","chr14:38064443-38064533",6,"1.14e-08","9.56e-05","+"
"Females","Phthalate","Mono-4-methyl-7-carboxyoctyl phthalate (cx-MiNP)","LOC100133469","chr14:106938289-106938323",4,"2.87e-08","6.35e-04","+"
"Females","Phthalate","Mono-4-methyl-7-carboxyoctyl phthalate (cx-MiNP)","RNF39;RNF39","chr6:30039374-30039525",10,"6.71e-09","3.34e-05","+"
"Females","Phthalate","Mono-4-methyl-7-hydroxyoctyl phthalate (OH-MiNP)","","chr18:53447560-53447597",3,"4.38e-09","8.91e-05","-"
"Females","Phthalate","Mono-4-methyl-7-hydroxyoctyl phthalate (OH-MiNP)","APC;APC;APC","chr5:112073348-112073614",12,"4.14e-11","1.17e-07","-"
"Females","Phthalate","Mono-4-methyl-7-hydroxyoctyl phthalate (OH-MiNP)","UCP1","chr4:141489963-141490098",3,"2.91e-06","1.61e-02","+"
"Females","Phthalate","Mono-4-methyl-7-oxooctyl phthalate (oxo-MiNP)","","chr6:168775229-168775321",3,"7.04e-10","5.76e-06","+"
"Females","Phthalate","Mono-4-methyl-7-oxooctyl phthalate (oxo-MiNP)","","chr6:168785355-168785971",7,"4.42e-16","5.43e-13","+"
"Females","Phthalate","Mono-4-methyl-7-oxooctyl phthalate (oxo-MiNP)","APC;APC;APC","chr5:112073373-112073687",11,"1.40e-10","3.35e-07","-"
"Females","Phthalate","Molar sum of di-isononyl phthalate (DiNP) metabolites (ΣDiNP)","APC;APC;APC","chr5:112073348-112073687",13,"1.19e-11","2.64e-08","-"
"Females","Phenol","Bisphenol S (BPS)","CLEC9A","chr12:10183172-10183365",6,"1.81e-10","7.06e-07","-"
"Females","Phenol","Bisphenol S (BPS)","DENND3","chr8:142140182-142140201",2,"7.47e-10","2.96e-05","-"
"Females","Phenol","Bisphenol S (BPS)","FLOT1","chr6:30710949-30711803",19,"1.25e-22","1.11e-19","-"
"Females","Phenol","Bisphenol S (BPS)","TBC1D16","chr17:77924180-77925448",13,"1.14e-28","6.75e-26","-"
"Females","Phenol","Butylparaben (BUPA)","FMO1","chr1:171217555-171217723",3,"2.44e-09","1.09e-05","+"
"Females","Phthalate","Mono-6-hydroxy-propylheptyl phthalate (OH-MPHP)","ADAM32","chr8:38964858-38965123",6,"8.70e-10","2.47e-06","+"
"Females","Phthalate","Mono-2-ethyl-5-carboxypentyl phthalate (MECPP)","ABP1","chr7:150549370-150549473",3,"3.66e-09","2.68e-05","+"
"Females","Phthalate","Mono-2-ethyl-5-carboxypentyl phthalate (MECPP)","C2orf16","chr2:27798724-27798746",2,"1.66e-08","5.67e-04","+"
"Females","Phthalate","Mono-2-ethyl-5-carboxypentyl phthalate (MECPP)","GRID1","chr10:87989214-87989232",2,"1.20e-08","5.02e-04","+"
"Females","Phthalate","Mono-2-ethyl-5-carboxypentyl phthalate (MECPP)","KCNJ18;KCNJ12","chr17:21308216-21308361",4,"8.70e-08","4.51e-04","+"
"Females","Phthalate","Mono-2-ethyl-5-carboxypentyl phthalate (MECPP)","KRTAP9-1","chr17:39344834-39344869",4,"1.57e-10","3.37e-06","+"
"Females","Phthalate","Mono-2-ethyl-5-carboxypentyl phthalate (MECPP)","NCAM2","chr21:22519217-22519344",5,"1.98e-08","1.17e-04","+"
"Females","Phthalate","Mono-2-ethyl-5-carboxypentyl phthalate (MECPP)","NIPAL4","chr5:156886970-156887148",9,"2.45e-10","1.04e-06","+"
"Females","Phthalate","Mono-2-ethyl-5-carboxypentyl phthalate (MECPP)","SLC9A2","chr2:103305353-103305458",2,"7.46e-09","5.35e-05","+"
"Females","Phthalate","Mono-2-ethyl-5-carboxypentyl phthalate (MECPP)","TDRG1","chr6:40346035-40346115",3,"2.75e-10","2.59e-06","+"
"Females","Phthalate","Mono-2-ethyl-5-hydroxyhexyl phthalate (MEHHP)","","chr16:87079265-87079314",3,"1.89e-08","2.91e-04","+"
"Females","Phthalate","Mono-2-ethyl-5-hydroxyhexyl phthalate (MEHHP)","CRYBB3","chr22:25595697-25595815",3,"3.49e-07","2.22e-03","+"
"Females","Phthalate","Mono-2-ethyl-5-hydroxyhexyl phthalate (MEHHP)","KCNJ15;KCNJ15;KCNJ15","chr21:39643733-39643882",3,"1.38e-08","6.94e-05","+"
"Females","Phthalate","Mono-2-ethyl-5-hydroxyhexyl phthalate (MEHHP)","NIPAL4","chr5:156886970-156887148",9,"1.22e-17","5.14e-14","+"
"Females","Phthalate","Mono-2-ethyl-5-hydroxyhexyl phthalate (MEHHP)","SYNPR","chr3:63263752-63263833",5,"2.19e-08","2.04e-04","+"
"Females","Phthalate","Mono-2-ethylhexyl phthalate (MEHP)","","chr12:33728376-33728506",3,"2.09e-09","1.21e-05","+"
"Females","Phthalate","Mono-2-ethylhexyl phthalate (MEHP)","","chr22:39835407-39835413",2,"2.00e-08","2.51e-03","+"
"Females","Phthalate","Mono-2-ethylhexyl phthalate (MEHP)","","chr3:100920342-100920371",2,"2.17e-08","5.64e-04","+"
"Females","Phthalate","Mono-2-ethylhexyl phthalate (MEHP)","","chr4:157563625-157564008",5,"1.06e-15","2.18e-12","+"
"Females","Phthalate","Mono-2-ethylhexyl phthalate (MEHP)","BIN2","chr12:51717960-51718113",5,"1.87e-09","9.22e-06","+"
"Females","Phthalate","Mono-2-ethylhexyl phthalate (MEHP)","C11orf9;C11orf9;DKFZP434K028","chr11:61522741-61522808",5,"6.05e-08","6.79e-04","+"
"Females","Phthalate","Mono-2-ethylhexyl phthalate (MEHP)","INADL","chr1:62317121-62317247",2,"9.26e-10","5.53e-06","+"
"Females","Phthalate","Mono-2-ethylhexyl phthalate (MEHP)","KCNJ15;KCNJ15;KCNJ15","chr21:39643733-39644355",9,"4.39e-13","5.32e-10","+"
"Females","Phthalate","Mono-2-ethylhexyl phthalate (MEHP)","KRTAP9-1","chr17:39344834-39344869",4,"4.74e-09","1.02e-04","+"
"Females","Phthalate","Mono-2-ethylhexyl phthalate (MEHP)","OXR1;OXR1;OXR1","chr8:107460009-107460169",5,"5.30e-08","2.49e-04","+"
"Females","Phthalate","Mono-2-ethylhexyl phthalate (MEHP)","SPARCL1;SPARCL1;SPARCL1;SPARCL1;SPARCL1;SPARCL1;SPARCL1;SPARCL1","chr4:88450413-88450507",2,"4.34e-08","3.47e-04","+"
"Females","Phthalate","Mono-2-ethyl-5oxo-hexyl phthalate (MEOHP)","","chr16:87079265-87079314",3,"1.32e-09","2.03e-05","+"
"Females","Phthalate","Mono-2-ethyl-5oxo-hexyl phthalate (MEOHP)","NIPAL4","chr5:156886970-156887148",9,"4.50e-13","1.90e-09","+"
"Females","Phthalate","Mono-2-ethyl-5oxo-hexyl phthalate (MEOHP)","RTP4","chr3:187086147-187086188",3,"1.76e-08","3.23e-04","+"
"Females","Phthalate","Molar sum of di(2-ethylhexyl) phthalate (DEHP) metabolites (ΣDEHP)","NIPAL4","chr5:156886970-156887148",9,"2.97e-14","1.26e-10","+"
"Females","Phthalate","2-(((hydroxy-4-methyloctyl)oxy)carbonyl) cyclohexanecarboxylic acid (OH-MINCH)","FGF12;FGF12","chr3:192445307-192445595",7,"3.33e-12","8.72e-09","-"
"Females","Phthalate","2-(((hydroxy-4-methyloctyl)oxy)carbonyl) cyclohexanecarboxylic acid (OH-MINCH)","NOX4;NOX4;NOX4;NOX4;NOX4;NOX4;NOX4;NOX4","chr11:89224179-89224685",9,"2.81e-16","4.95e-13","-"
"Females","Phthalate","2-(((hydroxy-4-methyloctyl)oxy)carbonyl) cyclohexanecarboxylic acid (OH-MINCH)","PSD4;LOC440839","chr2:113931518-113931566",4,"3.23e-09","5.06e-05","-"
"Females","Phthalate","2-(((hydroxy-4-methyloctyl)oxy)carbonyl) cyclohexanecarboxylic acid (OH-MINCH)","SGCE;PEG10;SGCE;PEG10;SGCE","chr7:94286484-94286794",8,"8.58e-08","2.08e-04","-"
"Females","Phthalate","2-(((hydroxy-4-methyloctyl)oxy)carbonyl) cyclohexanecarboxylic acid (OH-MINCH)","TAP1;PSMB8","chr6:32813441-32813583",6,"1.61e-08","8.51e-05","-"
"Females","Phthalate","Molar sum of 1,2-cyclohexane dicarboxylic acid di-isononyl ester (DINCH) metabolites (ΣDiNCH)","FGF12;FGF12","chr3:192445380-192445539",4,"3.30e-07","1.56e-03","-"
"Females","Phthalate","Molar sum of 1,2-cyclohexane dicarboxylic acid di-isononyl ester (DINCH) metabolites (ΣDiNCH)","KCNQ1OT1;KCNQ1;KCNQ1","chr11:2721817-2721953",3,"2.21e-07","1.22e-03","-"
"Females","Phthalate","Molar sum of 1,2-cyclohexane dicarboxylic acid di-isononyl ester (DINCH) metabolites (ΣDiNCH)","NOX4;NOX4;NOX4;NOX4;NOX4;NOX4;NOX4;NOX4","chr11:89224179-89224613",7,"2.69e-15","4.62e-12","-"
"Females","Phthalate","Molar sum of 1,2-cyclohexane dicarboxylic acid di-isononyl ester (DINCH) metabolites (ΣDiNCH)","PSD4;LOC440839","chr2:113931518-113931566",4,"3.98e-09","6.25e-05","-"
"Females","Phthalate","Molar sum of 1,2-cyclohexane dicarboxylic acid di-isononyl ester (DINCH) metabolites (ΣDiNCH)","SGCE;PEG10;SGCE;PEG10;SGCE","chr7:94286362-94286835",10,"1.06e-09","1.70e-06","-"
"Females","Phthalate","Mono-2-carboxymethylhexyl phthalate (MMCHP)","NIPAL4","chr5:156886970-156887148",9,"5.27e-18","2.23e-14","+"
"Females","Phthalate","2-(((4-methyl-7-oxooctyl)oxy)carbonyl) cyclohexanecarboxylic acid (oxo-MINCH)","","chr20:19866974-19867146",5,"2.57e-08","1.12e-04","-"
"Females","Phthalate","2-(((4-methyl-7-oxooctyl)oxy)carbonyl) cyclohexanecarboxylic acid (oxo-MINCH)","HCG27","chr6:31164914-31164953",6,"1.83e-09","3.53e-05","+"
"Females","Phthalate","2-(((4-methyl-7-oxooctyl)oxy)carbonyl) cyclohexanecarboxylic acid (oxo-MINCH)","KCNQ1OT1;KCNQ1;KCNQ1","chr11:2721817-2721953",3,"1.85e-07","1.03e-03","-"
"Females","Phthalate","2-(((4-methyl-7-oxooctyl)oxy)carbonyl) cyclohexanecarboxylic acid (oxo-MINCH)","NOX4;NOX4;NOX4;NOX4;NOX4;NOX4;NOX4;NOX4","chr11:89224282-89224613",6,"6.99e-11","1.59e-07","-"
"Females","Phthalate","2-(((4-methyl-7-oxooctyl)oxy)carbonyl) cyclohexanecarboxylic acid (oxo-MINCH)","PSD4;LOC440839","chr2:113931518-113931566",4,"2.59e-08","4.06e-04","-"
"Females","Phthalate","2-(((4-methyl-7-oxooctyl)oxy)carbonyl) cyclohexanecarboxylic acid (oxo-MINCH)","SGCE;PEG10;SGCE;PEG10;SGCE","chr7:94286362-94286794",9,"3.57e-09","6.22e-06","-"
"Males","Phenol","Bisphenol A (BPA)","","chr2:21346738-21346893",5,"1.45e-08","7.06e-05","-"
"Males","Phenol","Bisphenol A (BPA)","","chr2:776598-776720",3,"4.57e-08","2.82e-04","-"
"Males","Phenol","Bisphenol A (BPA)","ACTN2;ACTN2;ACTN2","chr1:236899717-236899778",2,"1.48e-06","1.81e-02","-"
"Males","Phenol","Bisphenol A (BPA)","FOXP2;FOXP2;FOXP2;FOXP2;FOXP2;FOXP2","chr7:114055074-114055211",6,"1.38e-08","7.57e-05","-"
"Males","Phenol","Bisphenol A (BPA)","GAS2","chr11:22687582-22687661",5,"3.49e-08","3.32e-04","-"
"Males","Phenol","Bisphenol A (BPA)","RNF39;RNF39","chr6:30039132-30039525",12,"4.00e-12","7.66e-09","-"
"Males","Phenol","Bisphenol A (BPA)","SNORA59B;SNORA59A;SLC47A1","chr17:19460159-19460236",3,"2.14e-11","2.09e-07","-"
"Males","Phenol","Bisphenol A (BPA)","TRIL;TRIL","chr7:28997925-28998347",8,"5.89e-13","1.05e-09","-"
"Males","Phenol","Ethylparaben (ETPA)","","chr1:180494032-180494133",2,"5.55e-08","4.14e-04","+"
"Males","Phenol","Ethylparaben (ETPA)","","chr8:22561149-22561239",3,"4.21e-09","3.52e-05","+"
"Males","Phenol","Ethylparaben (ETPA)","C1orf86;LOC100128003;C1orf86","chr1:2125049-2125244",7,"7.34e-12","2.83e-08","+"
"Males","Phenol","Ethylparaben (ETPA)","IL17RE;IL17RE;IL17RE;IL17RE;IL17RE","chr3:9944512-9944592",2,"1.67e-08","1.57e-04","+"
"Males","Phenol","Ethylparaben (ETPA)","KCNQ1;KCNQ1","chr11:2753818-2753951",3,"5.89e-08","3.33e-04","+"
"Males","Phenol","Ethylparaben (ETPA)","RASL10B","chr17:34068171-34068226",2,"1.64e-08","2.24e-04","+"
"Males","Phenol","Ethylparaben (ETPA)","UBXN10;UBXN10-AS1","chr1:20512395-20512945",6,"4.46e-12","6.10e-09","+"
"Males","Phenol","Ethylparaben (ETPA)","ZIM2;PEG3;ZIM2;ZIM2;PEG3;PEG3;PEG3;MIMT1;ZIM2;PEG3;PEG3;PEG3;ZIM2;ZIM2;PEG3","chr19:57352014-57352270",9,"3.58e-10","1.05e-06","+"
"Males","Phenol","Methylparaben (MEPA)","","chr4:41306412-41306579",3,"3.75e-09","1.69e-05","+"
"Males","Phenol","Methylparaben (MEPA)","","chr7:52735864-52735905",2,"1.48e-08","2.71e-04","+"
"Males","Phenol","Methylparaben (MEPA)","ACE;ACE","chr17:61561602-61561775",3,"4.40e-08","1.91e-04","+"
"Males","Phenol","Methylparaben (MEPA)","EPHX2","chr8:27348882-27348941",3,"2.10e-09","2.68e-05","+"
"Males","Phenol","Methylparaben (MEPA)","EYA4;EYA4;EYA4","chr6:133561614-133561678",4,"4.96e-10","5.84e-06","+"
"Males","Phenol","Methylparaben (MEPA)","IER3","chr6:30713026-30713098",2,"9.86e-09","1.03e-04","+"
"Males","Phenol","Methylparaben (MEPA)","ITPK1;ITPK1;ITPK1","chr14:93409645-93409746",2,"3.21e-08","2.39e-04","+"
"Males","Phenol","Methylparaben (MEPA)","LBXCOR1","chr15:68120393-68120413",2,"5.08e-08","1.91e-03","+"
"Males","Phenol","Methylparaben (MEPA)","LIMCH1","chr4:41361219-41361308",3,"6.17e-08","5.22e-04","+"
"Males","Phenol","Methylparaben (MEPA)","PCDH1;PCDH1;PCDH1;PCDH1","chr5:141245930-141245967",3,"5.72e-09","1.16e-04","+"
"Males","Phenol","Methylparaben (MEPA)","PRDM10;PRDM10;PRDM10;PRDM10","chr11:129817591-129817718",4,"7.38e-08","4.37e-04","+"
"Males","Phenol","Methylparaben (MEPA)","SCARA3;SCARA3","chr8:27525079-27525103",2,"7.18e-08","2.25e-03","+"
"Males","Phenol","Methylparaben (MEPA)","SGCE;PEG10;SGCE;PEG10;SGCE","chr7:94286208-94286527",19,"3.05e-10","7.20e-07","+"
"Males","Phenol","Methylparaben (MEPA)","TOE1;MUTYH;MUTYH;MUTYH;MUTYH;MUTYH;MUTYH;MUTYH;MUTYH","chr1:45807191-45807215",2,"1.89e-08","5.92e-04","+"
"Males","Phenol","Propylparaben (PRPA)","","chr1:27845980-27846027",2,"8.53e-10","1.37e-05","+"
"Males","Phenol","Propylparaben (PRPA)","","chr6:28574471-28574636",7,"5.82e-09","2.66e-05","-"
"Males","Phenol","Propylparaben (PRPA)","ADD2;ADD2;ADD2;ADD2;ADD2","chr2:70995351-70995608",7,"1.58e-08","4.64e-05","+"
"Males","Phenol","Propylparaben (PRPA)","AGTR1;AGTR1;AGTR1;AGTR1;AGTR1","chr3:148446876-148446999",2,"1.71e-09","1.04e-05","-"
"Males","Phenol","Propylparaben (PRPA)","C1orf86;LOC100128003;C1orf86","chr1:2125049-2125244",7,"2.89e-08","1.12e-04","+"
"Males","Phenol","Propylparaben (PRPA)","CCL20;CCL20","chr2:228678393-228678501",3,"2.29e-08","1.60e-04","-"
"Males","Phenol","Propylparaben (PRPA)","CNKSR1;CNKSR1","chr1:26503776-26503848",3,"1.17e-07","1.23e-03","+"
"Males","Phenol","Propylparaben (PRPA)","DSE;DSE","chr6:116691382-116691479",3,"7.23e-09","5.60e-05","+"
"Males","Phenol","Propylparaben (PRPA)","KLHDC7A","chr1:18807388-18807551",2,"1.40e-06","6.44e-03","+"
"Males","Phenol","Propylparaben (PRPA)","LOC101927560;LOC101927587;MIR548AP","chr1:84326358-84326670",6,"4.02e-13","9.70e-10","-"
"Males","Phenol","Propylparaben (PRPA)","MKRN3","chr15:23810163-23810379",5,"2.93e-09","1.02e-05","+"
"Males","Phenol","Propylparaben (PRPA)","PENK;PENK;PENK","chr8:57358590-57358722",5,"1.93e-08","1.10e-04","+"
"Males","Phenol","Propylparaben (PRPA)","SLC43A2;SLC43A2;SLC43A2","chr17:1509085-1509248",2,"8.32e-08","3.84e-04","+"
"Males","Phthalate","Monoethyl phthalate (MEP)","MYH2;MYH2","chr17:10453261-10453319",4,"1.19e-09","1.55e-05","+"
"Males","Phthalate","Monoethyl phthalate (MEP)","UBE2QL1","chr5:6447235-6447258",3,"7.13e-10","2.33e-05","+"
"Males","Phthalate","Monoethyl phthalate (MEP)","ZIM2;PEG3;ZIM2;ZIM2;PEG3;PEG3;PEG3;MIMT1;ZIM2;PEG3;PEG3;PEG3;ZIM2;ZIM2;PEG3","chr19:57352014-57352186",7,"1.15e-10","5.03e-07","+"
"Males","Phthalate","Mono-iso-butyl phthalate (MiBP)","VWA5B2;MIR1224","chr3:183959000-183959172",7,"5.25e-09","2.30e-05","+"
"Males","Phthalate","Monobenzyl phthalate (MBzP)","","chr6:100050480-100050507",2,"1.42e-09","3.95e-05","-"
"Males","Phthalate","Monobenzyl phthalate (MBzP)","CCL28","chr5:43397113-43397233",4,"5.40e-09","3.38e-05","-"
"Males","Phthalate","Mono-4-methyl-7-carboxyoctyl phthalate (cx-MiNP)","","chr4:1400189-1400265",4,"1.29e-08","1.28e-04","+"
"Males","Phthalate","Mono-4-methyl-7-carboxyoctyl phthalate (cx-MiNP)","ACSS3","chr12:81471649-81471758",5,"8.03e-07","5.53e-03","+"
"Males","Phthalate","Mono-4-methyl-7-carboxyoctyl phthalate (cx-MiNP)","GGA2","chr16:23478799-23478870",3,"3.17e-10","3.36e-06","+"
